frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
25,32,0.1,b1e1a7b8-b397c445,260,faster_rcnn_inception_v2_coco_2018_01_28,403,23,24,8
25,32,0.1,b1e1a7b8-b397c445,280,faster_rcnn_inception_v2_coco_2018_01_28,436,8,6,8
25,32,0.1,b1e1a7b8-b397c445,480,faster_rcnn_inception_v2_coco_2018_01_28,447,2,1,0
25,32,0.1,b1e1a7b8-b397c445,500,faster_rcnn_inception_v2_coco_2018_01_28,433,11,6,6
25,32,0.1,b1e1a7b8-b397c445,520,faster_rcnn_inception_v2_coco_2018_01_28,434,9,7,5
25,32,0.1,b1e1a7b8-b397c445,720,faster_rcnn_inception_v2_coco_2018_01_28,450,0,0,0
25,32,0.1,b1e1a7b8-b397c445,740,faster_rcnn_inception_v2_coco_2018_01_28,440,4,6,1
25,32,0.1,b1e1a7b8-b397c445,760,faster_rcnn_inception_v2_coco_2018_01_28,387,34,29,17
25,32,0.1,b1e1a7b8-b397c445,260,ssd_inception_v2_coco_2018_01_28,260,21,11,8
25,32,0.1,b1e1a7b8-b397c445,280,ssd_inception_v2_coco_2018_01_28,289,2,1,1
25,32,0.1,b1e1a7b8-b397c445,480,ssd_inception_v2_coco_2018_01_28,291,1,0,0
25,32,0.1,b1e1a7b8-b397c445,500,ssd_inception_v2_coco_2018_01_28,272,13,7,5
25,32,0.1,b1e1a7b8-b397c445,520,ssd_inception_v2_coco_2018_01_28,276,12,4,2
25,32,0.1,b1e1a7b8-b397c445,720,ssd_inception_v2_coco_2018_01_28,292,0,0,0
25,32,0.1,b1e1a7b8-b397c445,740,ssd_inception_v2_coco_2018_01_28,289,3,0,4
25,32,0.1,b1e1a7b8-b397c445,760,ssd_inception_v2_coco_2018_01_28,239,50,3,3
25,32,0.5,b1e1a7b8-b397c445,260,faster_rcnn_inception_v2_coco_2018_01_28,443,4,3,11
25,32,0.5,b1e1a7b8-b397c445,440,faster_rcnn_inception_v2_coco_2018_01_28,448,2,0,0
25,32,0.5,b1e1a7b8-b397c445,460,faster_rcnn_inception_v2_coco_2018_01_28,439,7,4,4
25,32,0.5,b1e1a7b8-b397c445,480,faster_rcnn_inception_v2_coco_2018_01_28,353,57,40,16
25,32,0.5,b1e1a7b8-b397c445,500,faster_rcnn_inception_v2_coco_2018_01_28,442,5,3,4
25,32,0.5,b1e1a7b8-b397c445,700,faster_rcnn_inception_v2_coco_2018_01_28,444,2,4,1
25,32,0.5,b1e1a7b8-b397c445,720,faster_rcnn_inception_v2_coco_2018_01_28,375,34,41,10
