frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
259,75,40.0,VIRAT_S_010201_08_000705_000739,1,ssd_inception_v2_coco_2018_01_28,34,21,1,6
25,200,40.0,VIRAT_S_010005_06_000475_000499,8,faster_rcnn_inception_v2_coco_2018_01_28,649,43,1,0
259,200,1.0,VIRAT_S_010203_00_000047_000139,9,faster_rcnn_inception_v2_coco_2018_01_28,1144,34,16,8
25,32,10.0,VIRAT_S_010208_07_000768_000791,2,ssd_inception_v2_coco_2018_01_28,50,1,0,4
750,75,20.0,VIRAT_S_010204_03_000606_000632,8,ssd_inception_v2_coco_2018_01_28,7,9,0,1
25,32,40.0,VIRAT_S_010005_06_000475_000499,6,ssd_inception_v2_coco_2018_01_28,190,4,0,0
259,200,10.0,VIRAT_S_010001_03_000537_000563,0,faster_rcnn_inception_v2_coco_2018_01_28,380,106,135,2
511,75,5.0,VIRAT_S_000205_02_000409_000566,0,ssd_inception_v2_coco_2018_01_28,1363,3346,623,7
259,75,40.0,VIRAT_S_050000_02_000404_000486,4,ssd_inception_v2_coco_2018_01_28,200,1337,2,10
511,200,20.0,VIRAT_S_010208_08_000807_000831,5,ssd_inception_v2_coco_2018_01_28,13,2,0,1
511,32,0.1,VIRAT_S_050201_10_001992_002056,6,ssd_inception_v2_coco_2018_01_28,1119,85,29,2
259,200,10.0,VIRAT_S_010204_07_000942_000989,0,ssd_inception_v2_coco_2018_01_28,136,31,3,42
511,75,10.0,VIRAT_S_010205_04_000545_000576,1,ssd_inception_v2_coco_2018_01_28,2,12,0,2
511,200,0.1,VIRAT_S_010001_03_000537_000563,7,ssd_inception_v2_coco_2018_01_28,46,1,4,41
511,75,20.0,VIRAT_S_010005_06_000475_000499,5,ssd_inception_v2_coco_2018_01_28,48,103,43,0
750,200,5.0,VIRAT_S_010205_04_000545_000576,3,ssd_inception_v2_coco_2018_01_28,2,12,0,2
25,200,1.0,VIRAT_S_010201_08_000705_000739,4,faster_rcnn_inception_v2_coco_2018_01_28,154,121,3,5
259,200,1.0,VIRAT_S_010110_06_000953_001011,5,faster_rcnn_inception_v2_coco_2018_01_28,2429,257,564,207
25,75,20.0,VIRAT_S_010203_00_000047_000139,4,faster_rcnn_inception_v2_coco_2018_01_28,1174,18,2,3
25,32,1.0,VIRAT_S_050000_11_001530_001576,5,faster_rcnn_inception_v2_coco_2018_01_28,1591,70,113,13
25,75,1.0,VIRAT_S_010004_01_000163_000188,0,faster_rcnn_inception_v2_coco_2018_01_28,717,9,0,2
259,200,1.0,VIRAT_S_010200_01_000254_000322,3,ssd_inception_v2_coco_2018_01_28,53,12,0,23
511,200,20.0,VIRAT_S_010208_07_000768_000791,9,faster_rcnn_inception_v2_coco_2018_01_28,110,82,4,47
511,75,0.1,VIRAT_S_010204_11_001524_001607,0,ssd_inception_v2_coco_2018_01_28,37,2,0,5
511,200,20.0,VIRAT_S_010004_01_000163_000188,5,ssd_inception_v2_coco_2018_01_28,51,91,39,0
750,75,5.0,VIRAT_S_010204_07_000942_000989,3,ssd_inception_v2_coco_2018_01_28,82,87,6,9
511,32,1.0,VIRAT_S_050000_11_001530_001576,0,ssd_inception_v2_coco_2018_01_28,567,172,47,162
750,200,10.0,VIRAT_S_050201_10_001992_002056,5,faster_rcnn_inception_v2_coco_2018_01_28,1013,1215,380,123
25,200,20.0,VIRAT_S_010208_10_000904_000991,6,ssd_inception_v2_coco_2018_01_28,228,8,1,1
259,200,20.0,VIRAT_S_050000_02_000404_000486,0,ssd_inception_v2_coco_2018_01_28,288,1250,1,36
259,200,20.0,VIRAT_S_000201_02_000590_000623,8,ssd_inception_v2_coco_2018_01_28,349,678,3,0
259,75,10.0,VIRAT_S_010205_04_000545_000576,3,ssd_inception_v2_coco_2018_01_28,3,11,0,2
25,75,1.0,VIRAT_S_010204_07_000942_000989,8,ssd_inception_v2_coco_2018_01_28,162,8,0,0
750,32,5.0,VIRAT_S_010208_10_000904_000991,8,ssd_inception_v2_coco_2018_01_28,226,9,2,10
750,75,10.0,VIRAT_S_010208_08_000807_000831,0,ssd_inception_v2_coco_2018_01_28,13,2,0,1
750,32,40.0,VIRAT_S_010208_08_000807_000831,0,ssd_inception_v2_coco_2018_01_28,15,0,0,1
511,75,20.0,VIRAT_S_010201_08_000705_000739,2,ssd_inception_v2_coco_2018_01_28,30,26,0,2
259,32,40.0,VIRAT_S_010005_06_000475_000499,2,faster_rcnn_inception_v2_coco_2018_01_28,649,38,6,1
259,75,10.0,VIRAT_S_040103_03_000284_000425,9,faster_rcnn_inception_v2_coco_2018_01_28,2997,614,640,228
25,32,5.0,VIRAT_S_010207_10_001549_001596,6,faster_rcnn_inception_v2_coco_2018_01_28,470,0,0,0
259,75,1.0,VIRAT_S_010205_04_000545_000576,6,faster_rcnn_inception_v2_coco_2018_01_28,54,70,0,1
259,200,10.0,VIRAT_S_010203_00_000047_000139,1,ssd_inception_v2_coco_2018_01_28,122,168,4,10
25,200,5.0,VIRAT_S_010004_01_000163_000188,7,faster_rcnn_inception_v2_coco_2018_01_28,711,15,0,1
25,32,40.0,VIRAT_S_040103_08_001475_001512,9,faster_rcnn_inception_v2_coco_2018_01_28,848,44,17,100
259,32,1.0,VIRAT_S_010203_00_000047_000139,7,ssd_inception_v2_coco_2018_01_28,286,6,2,6
750,200,1.0,VIRAT_S_010004_01_000163_000188,8,faster_rcnn_inception_v2_coco_2018_01_28,459,89,178,4
25,75,0.1,VIRAT_S_010208_08_000807_000831,4,faster_rcnn_inception_v2_coco_2018_01_28,131,0,0,1
511,32,0.1,VIRAT_S_040103_03_000284_000425,2,ssd_inception_v2_coco_2018_01_28,2532,429,42,5
511,32,1.0,VIRAT_S_010001_03_000537_000563,7,faster_rcnn_inception_v2_coco_2018_01_28,586,3,32,3
511,200,20.0,VIRAT_S_010204_07_000942_000989,7,ssd_inception_v2_coco_2018_01_28,23,150,2,6
511,32,1.0,VIRAT_S_010204_11_001524_001607,4,ssd_inception_v2_coco_2018_01_28,37,1,1,0
25,200,0.1,VIRAT_S_010005_06_000475_000499,6,faster_rcnn_inception_v2_coco_2018_01_28,673,6,14,0
750,32,0.1,VIRAT_S_010005_06_000475_000499,4,faster_rcnn_inception_v2_coco_2018_01_28,672,9,12,4
511,200,20.0,VIRAT_S_010203_00_000047_000139,6,faster_rcnn_inception_v2_coco_2018_01_28,570,585,39,99
511,32,0.1,VIRAT_S_010200_01_000254_000322,2,ssd_inception_v2_coco_2018_01_28,37,1,0,1
25,200,20.0,VIRAT_S_010208_07_000768_000791,4,faster_rcnn_inception_v2_coco_2018_01_28,168,14,8,1
25,75,10.0,VIRAT_S_010208_02_000150_000180,6,faster_rcnn_inception_v2_coco_2018_01_28,369,0,0,0
750,200,10.0,VIRAT_S_000201_02_000590_000623,3,ssd_inception_v2_coco_2018_01_28,0,1030,0,0
25,200,10.0,VIRAT_S_010200_01_000254_000322,9,ssd_inception_v2_coco_2018_01_28,48,17,0,6
259,200,1.0,VIRAT_S_000201_02_000590_000623,5,ssd_inception_v2_coco_2018_01_28,540,480,10,1
511,75,1.0,VIRAT_S_010001_03_000537_000563,4,ssd_inception_v2_coco_2018_01_28,50,1,0,0
259,32,20.0,VIRAT_S_050000_10_001462_001491,7,faster_rcnn_inception_v2_coco_2018_01_28,838,92,147,9
25,32,10.0,VIRAT_S_010208_02_000150_000180,0,ssd_inception_v2_coco_2018_01_28,105,2,0,1
511,75,10.0,VIRAT_S_000205_02_000409_000566,9,faster_rcnn_inception_v2_coco_2018_01_28,7479,1910,1698,65
259,200,20.0,VIRAT_S_040103_08_001475_001512,7,faster_rcnn_inception_v2_coco_2018_01_28,632,82,195,144
25,200,40.0,VIRAT_S_010204_07_000942_000989,3,ssd_inception_v2_coco_2018_01_28,31,139,0,3
259,200,40.0,VIRAT_S_050201_10_001992_002056,5,faster_rcnn_inception_v2_coco_2018_01_28,441,1967,200,587
259,200,10.0,VIRAT_S_010204_07_000942_000989,1,faster_rcnn_inception_v2_coco_2018_01_28,264,297,7,1
511,75,1.0,VIRAT_S_040104_04_000854_000934,3,ssd_inception_v2_coco_2018_01_28,29,696,6,3
511,32,10.0,VIRAT_S_010208_07_000768_000791,1,faster_rcnn_inception_v2_coco_2018_01_28,183,13,0,1
750,200,1.0,VIRAT_S_050000_10_001462_001491,2,faster_rcnn_inception_v2_coco_2018_01_28,610,211,256,29
511,200,20.0,VIRAT_S_010208_08_000807_000831,4,ssd_inception_v2_coco_2018_01_28,12,3,0,1
25,32,10.0,VIRAT_S_010208_02_000150_000180,1,ssd_inception_v2_coco_2018_01_28,101,6,0,6
750,200,0.1,VIRAT_S_010205_04_000545_000576,0,ssd_inception_v2_coco_2018_01_28,2,12,0,2
25,75,10.0,VIRAT_S_010005_06_000475_000499,4,ssd_inception_v2_coco_2018_01_28,59,92,43,9
25,200,5.0,VIRAT_S_010208_10_000904_000991,3,ssd_inception_v2_coco_2018_01_28,228,8,1,4
511,75,40.0,VIRAT_S_010203_00_000047_000139,6,faster_rcnn_inception_v2_coco_2018_01_28,718,458,18,233
511,200,1.0,VIRAT_S_050000_02_000404_000486,8,faster_rcnn_inception_v2_coco_2018_01_28,2355,1027,235,122
750,200,10.0,VIRAT_S_050000_02_000404_000486,4,faster_rcnn_inception_v2_coco_2018_01_28,1309,1804,504,64
750,200,1.0,VIRAT_S_010001_03_000537_000563,4,faster_rcnn_inception_v2_coco_2018_01_28,359,159,103,5
259,75,40.0,VIRAT_S_010208_08_000807_000831,0,faster_rcnn_inception_v2_coco_2018_01_28,67,64,0,32
25,75,10.0,VIRAT_S_010208_02_000150_000180,4,faster_rcnn_inception_v2_coco_2018_01_28,356,12,1,2
25,32,0.1,VIRAT_S_010204_03_000606_000632,8,ssd_inception_v2_coco_2018_01_28,16,0,0,0
750,75,1.0,VIRAT_S_010110_06_000953_001011,5,ssd_inception_v2_coco_2018_01_28,517,781,117,0
259,32,40.0,VIRAT_S_010208_08_000807_000831,4,ssd_inception_v2_coco_2018_01_28,15,0,0,1
259,75,1.0,VIRAT_S_010001_03_000537_000563,1,faster_rcnn_inception_v2_coco_2018_01_28,556,48,17,7
25,32,40.0,VIRAT_S_010204_11_001524_001607,1,faster_rcnn_inception_v2_coco_2018_01_28,211,93,0,16
511,200,5.0,VIRAT_S_010200_01_000254_000322,1,faster_rcnn_inception_v2_coco_2018_01_28,282,273,6,7
259,75,5.0,VIRAT_S_000205_02_000409_000566,9,faster_rcnn_inception_v2_coco_2018_01_28,9898,447,742,178
511,32,1.0,VIRAT_S_050000_11_001530_001576,6,ssd_inception_v2_coco_2018_01_28,572,165,49,65
259,200,10.0,VIRAT_S_010005_06_000475_000499,1,faster_rcnn_inception_v2_coco_2018_01_28,596,69,28,3
25,200,40.0,VIRAT_S_040104_04_000854_000934,3,ssd_inception_v2_coco_2018_01_28,96,628,7,157
25,75,1.0,VIRAT_S_010200_01_000254_000322,3,ssd_inception_v2_coco_2018_01_28,60,5,0,8
25,32,5.0,VIRAT_S_010201_08_000705_000739,4,ssd_inception_v2_coco_2018_01_28,53,3,0,10
25,75,5.0,VIRAT_S_000205_02_000409_000566,5,ssd_inception_v2_coco_2018_01_28,3562,1051,719,1719
750,75,40.0,VIRAT_S_010204_03_000606_000632,9,ssd_inception_v2_coco_2018_01_28,5,11,0,0
25,200,20.0,VIRAT_S_010207_10_001549_001596,2,ssd_inception_v2_coco_2018_01_28,15,174,0,0
25,200,20.0,VIRAT_S_040103_08_001475_001512,6,faster_rcnn_inception_v2_coco_2018_01_28,787,0,122,4
259,200,20.0,VIRAT_S_050000_11_001530_001576,6,ssd_inception_v2_coco_2018_01_28,9,777,0,0
259,32,5.0,VIRAT_S_040104_04_000854_000934,9,ssd_inception_v2_coco_2018_01_28,488,183,60,167
511,200,40.0,VIRAT_S_010001_03_000537_000563,9,ssd_inception_v2_coco_2018_01_28,44,2,5,0
750,32,1.0,VIRAT_S_040104_04_000854_000934,2,faster_rcnn_inception_v2_coco_2018_01_28,1717,55,18,5
511,200,1.0,VIRAT_S_040103_08_001475_001512,2,faster_rcnn_inception_v2_coco_2018_01_28,657,136,116,174
259,200,1.0,VIRAT_S_000201_02_000590_000623,6,ssd_inception_v2_coco_2018_01_28,358,575,97,0
750,32,10.0,VIRAT_S_010004_01_000163_000188,3,faster_rcnn_inception_v2_coco_2018_01_28,663,24,39,8
511,75,10.0,VIRAT_S_010204_03_000606_000632,4,ssd_inception_v2_coco_2018_01_28,8,8,0,3
511,32,40.0,VIRAT_S_050201_10_001992_002056,7,faster_rcnn_inception_v2_coco_2018_01_28,1819,640,149,171
750,75,1.0,VIRAT_S_010200_01_000254_000322,3,faster_rcnn_inception_v2_coco_2018_01_28,381,175,5,10
25,75,20.0,VIRAT_S_010208_02_000150_000180,0,ssd_inception_v2_coco_2018_01_28,21,86,0,0
25,200,10.0,VIRAT_S_010005_06_000475_000499,1,faster_rcnn_inception_v2_coco_2018_01_28,571,0,122,2
259,75,5.0,VIRAT_S_010208_08_000807_000831,1,ssd_inception_v2_coco_2018_01_28,13,2,0,2
511,75,5.0,VIRAT_S_010204_11_001524_001607,7,faster_rcnn_inception_v2_coco_2018_01_28,126,141,0,26
25,200,40.0,VIRAT_S_000201_02_000590_000623,0,faster_rcnn_inception_v2_coco_2018_01_28,1232,443,340,138
25,200,1.0,VIRAT_S_010208_08_000807_000831,2,ssd_inception_v2_coco_2018_01_28,15,0,0,0
259,32,1.0,VIRAT_S_050201_10_001992_002056,9,faster_rcnn_inception_v2_coco_2018_01_28,2327,196,85,12
259,75,5.0,VIRAT_S_050000_11_001530_001576,3,ssd_inception_v2_coco_2018_01_28,302,297,187,13
750,200,1.0,VIRAT_S_010200_01_000254_000322,2,ssd_inception_v2_coco_2018_01_28,24,14,0,2
259,75,10.0,VIRAT_S_010205_04_000545_000576,9,ssd_inception_v2_coco_2018_01_28,2,12,0,2
750,200,40.0,VIRAT_S_010110_06_000953_001011,7,faster_rcnn_inception_v2_coco_2018_01_28,786,1285,1179,3
511,32,40.0,VIRAT_S_050000_11_001530_001576,5,ssd_inception_v2_coco_2018_01_28,489,238,59,67
259,32,1.0,VIRAT_S_040103_03_000284_000425,8,ssd_inception_v2_coco_2018_01_28,2440,429,133,9
750,75,5.0,VIRAT_S_010200_01_000254_000322,8,ssd_inception_v2_coco_2018_01_28,24,14,0,5
511,200,5.0,VIRAT_S_000205_02_000409_000566,1,faster_rcnn_inception_v2_coco_2018_01_28,6823,2445,1819,61
25,200,20.0,VIRAT_S_010205_04_000545_000576,2,faster_rcnn_inception_v2_coco_2018_01_28,30,94,0,7
259,75,5.0,VIRAT_S_050000_10_001462_001491,0,faster_rcnn_inception_v2_coco_2018_01_28,781,178,118,32
511,200,20.0,VIRAT_S_000205_02_000409_000566,9,ssd_inception_v2_coco_2018_01_28,3,5329,0,2
750,200,40.0,VIRAT_S_050201_10_001992_002056,1,faster_rcnn_inception_v2_coco_2018_01_28,679,1502,427,288
259,75,40.0,VIRAT_S_050000_02_000404_000486,7,ssd_inception_v2_coco_2018_01_28,10,1526,3,1
750,75,1.0,VIRAT_S_040103_03_000284_000425,3,ssd_inception_v2_coco_2018_01_28,1245,932,826,6
25,75,0.1,VIRAT_S_010205_04_000545_000576,4,faster_rcnn_inception_v2_coco_2018_01_28,122,2,0,1
511,32,5.0,VIRAT_S_040104_04_000854_000934,3,faster_rcnn_inception_v2_coco_2018_01_28,1711,56,23,11
511,75,0.1,VIRAT_S_050000_11_001530_001576,3,faster_rcnn_inception_v2_coco_2018_01_28,1496,91,187,63
25,32,10.0,VIRAT_S_010203_00_000047_000139,7,ssd_inception_v2_coco_2018_01_28,290,3,1,4
25,75,20.0,VIRAT_S_000205_02_000409_000566,5,ssd_inception_v2_coco_2018_01_28,5155,101,76,9
750,75,1.0,VIRAT_S_010204_11_001524_001607,3,ssd_inception_v2_coco_2018_01_28,27,12,0,5
750,32,0.1,VIRAT_S_010204_11_001524_001607,7,faster_rcnn_inception_v2_coco_2018_01_28,245,22,0,4
750,75,0.1,VIRAT_S_050201_10_001992_002056,9,ssd_inception_v2_coco_2018_01_28,653,287,293,23
259,200,20.0,VIRAT_S_050000_10_001462_001491,0,faster_rcnn_inception_v2_coco_2018_01_28,514,368,195,15
511,32,1.0,VIRAT_S_040103_08_001475_001512,0,faster_rcnn_inception_v2_coco_2018_01_28,906,0,3,0
259,200,10.0,VIRAT_S_010208_02_000150_000180,1,ssd_inception_v2_coco_2018_01_28,0,107,0,0
25,200,40.0,VIRAT_S_050000_10_001462_001491,7,faster_rcnn_inception_v2_coco_2018_01_28,1011,50,16,8
511,32,0.1,VIRAT_S_010208_10_000904_000991,3,faster_rcnn_inception_v2_coco_2018_01_28,1013,4,3,1
511,75,20.0,VIRAT_S_010208_07_000768_000791,5,ssd_inception_v2_coco_2018_01_28,41,16,0,7
