frequency,exposure,duty_cycle,camera,affected_rows_mean,affected_rows_std,affected_rows_99ci,affected_rows_95ci
25Hz,Exposure 50,0.7,Axis,31.94791666666667,6.73357537467198,1.8159521760359003,1.3715111652297745
25Hz,Exposure 50,1.0,Axis,38.78350515463917,6.9240754403444855,1.8571806643874953,1.402759611542331
25Hz,Exposure 50,10.0,Axis,204.8090909090909,30.892627968658108,7.757515701874987,5.864596432361872
25Hz,Exposure 50,0.4,Axis,26.18556701030928,5.9626498933497905,1.5993063891127175,1.2079828592598552
25Hz,Exposure 50,5.0,Axis,115.61702127659576,8.333610980737621,2.272496714584128,1.7160409698423238
25Hz,Exposure 50,0.3,Axis,25.181818181818183,4.773376579209119,1.3477330680244624,1.0171777908102342
25Hz,Exposure 50,15.0,Axis,275.2474226804124,60.818647257088564,16.312822801140488,12.321347844332426
25Hz,Exposure 50,0.8,Axis,34.123711340206185,6.428444733360581,1.7242422275351357,1.3023489871943963
25Hz,Exposure 50,30.0,Axis,376.9368421052632,152.07697569782258,41.23960668541835,31.144012092602466
25Hz,Exposure 50,0.1,Axis,22.30769230769231,4.69125671290232,1.4120326263137188,1.0645610780597003
25Hz,Exposure 50,25.0,Axis,377.8571428571428,128.73149824132315,33.12231256018025,25.03220385455323
25Hz,Exposure 50,0.6,Axis,30.39,6.929494931089855,1.8291349838478068,1.3818889359694109
25Hz,Exposure 50,0.9,Axis,36.38541666666666,7.733005279949201,2.0854846027627545,1.5750775022322796
25Hz,Exposure 50,20.0,Axis,331.21505376344084,95.91941616294442,26.30405999411559,19.86143998536551
25Hz,Exposure 50,0.5,Axis,28.92079207920792,6.0814328176166494,1.5969176787362198,1.2065389501516337
25Hz,Exposure 50,0.2,Axis,24.690476190476193,3.562289895144997,1.030852120636802,0.7777073686501351
25Hz,Exposure 500,0.3,Axis,45.1869918699187,7.449940899526516,1.76494709330767,1.335212319115984
25Hz,Exposure 500,0.7,Axis,53.90909090909091,5.364406724338884,1.2817540009087294,0.9695740875605572
25Hz,Exposure 500,0.2,Axis,43.73983739837399,5.000548585147683,1.1846676113714012,0.8962210792372244
25Hz,Exposure 500,0.4,Axis,48.07377049180328,6.304003454463153,1.4998211458594035,1.1345852361523214
25Hz,Exposure 500,0.8,Axis,55.448,7.230442310121838,1.6986413962219753,1.285172087565366
25Hz,Exposure 500,0.1,Axis,42.80833333333333,5.247691291309816,1.2592944105775532,0.9525370885444244
25Hz,Exposure 500,15.0,Axis,334.11392405063293,36.4608294557574,10.90031629615793,8.218965225364126
25Hz,Exposure 500,30.0,Axis,639.3076923076923,1.7269187938956652,1.5227445403871345,1.0861785368779155
25Hz,Exposure 500,10.0,Axis,239.5161290322581,5.850490105792363,1.6043846897099163,1.2114247851944264
25Hz,Exposure 500,20.0,Axis,439.0392156862745,3.75714109247624,1.4228186467856778,1.0672277750066723
25Hz,Exposure 500,25.0,Axis,536.0,4.1191919032115845,2.068156528304664,1.5359075595619858
25Hz,Exposure 500,1.0,Axis,59.47107438016529,6.901999207518303,1.6491413781820845,1.247481767855322
25Hz,Exposure 500,0.6,Axis,51.72727272727273,6.493480519428571,1.5515312434901571,1.1736452460161149
25Hz,Exposure 500,5.0,Axis,139.6727272727273,6.704285048872022,1.683527752615781,1.2727284392587646
25Hz,Exposure 500,0.9,Axis,57.693548387096776,6.84055437688661,1.6137695597940245,1.2209019782847372
25Hz,Exposure 500,0.5,Axis,50.67768595041322,5.910090651138834,1.412137954316666,1.0682021414370513
25Hz,Exposure 1000,0.5,Axis,72.16949152542372,7.186740479835379,1.739771821294518,1.3158378879317767
25Hz,Exposure 1000,15.0,Axis,362.0483870967742,7.469135242416684,2.5427309390804083,1.912289568636224
25Hz,Exposure 1000,20.0,Axis,461.91111111111115,4.135602722281628,1.6785428000655138,1.256512288150168
25Hz,Exposure 1000,30.0,Axis,660.5,2.247220505424423,2.434365691256158,1.6945219875347632
25Hz,Exposure 1000,0.4,Axis,71.30708661417323,7.655487261629427,1.7837241763046614,1.349667867155418
25Hz,Exposure 1000,0.2,Axis,65.46031746031746,7.143262775078496,1.6712256554759206,1.264487817024426
25Hz,Exposure 1000,5.0,Axis,163.4848484848485,6.688394345165144,1.7748330790809344,1.3407654618079654
25Hz,Exposure 1000,0.8,Axis,79.51724137931033,7.4062913128435275,1.80896492358432,1.3680253679152932
25Hz,Exposure 1000,10.0,Axis,262.60674157303373,7.247809397883402,2.034196348468376,1.5354180626162273
25Hz,Exposure 1000,0.6,Axis,75.58474576271186,6.7187144038460325,1.6264716985306638,1.2301458492315114
25Hz,Exposure 1000,0.3,Axis,70.09677419354838,6.831402060360799,1.6116104175670638,1.2192684730545171
25Hz,Exposure 1000,0.1,Axis,65.69747899159664,7.885264016030145,1.9004987544859984,1.4374744589131931
25Hz,Exposure 1000,0.9,Axis,81.02479338842977,7.631451677720156,1.8234343932720631,1.3793245324998908
25Hz,Exposure 1000,0.7,Axis,76.86086956521739,6.839637616286202,1.6781203605888304,1.2690053513440225
25Hz,Exposure 1000,25.0,Axis,562.1666666666666,3.0413812651491097,2.137860342391769,1.5562913381294519
25Hz,Exposure 1000,1.0,Axis,82.48695652173912,6.4986489798516605,1.5944580372856654,1.2057393672877077
25Hz,Exposure 200,0.8,Axis,38.44354838709677,7.360862523262362,1.7365165481333238,1.3137665635549365
25Hz,Exposure 200,15.0,Axis,324.25,6.708203932499369,2.2448522730795752,1.68890601127526
25Hz,Exposure 200,20.0,Axis,421.32692307692315,4.500945002681077,1.686396319544197,1.2652964626277985
25Hz,Exposure 200,10.0,Axis,223.979797979798,4.355374708113726,1.1557427246108116,0.8730848811407288
25Hz,Exposure 200,0.6,Axis,35.14393939393939,6.925067088349764,1.5815177100186353,1.1969251584678924
25Hz,Exposure 200,0.4,Axis,30.90839694656489,7.3072696017919805,1.6753998936924719,1.2679241000218655
25Hz,Exposure 200,25.0,Axis,511.5531914893617,65.84275546528413,26.085485775804,19.541159570218642
25Hz,Exposure 200,30.0,Axis,597.5555555555555,97.43614559872431,68.49021988067334,49.85860574392022
25Hz,Exposure 200,0.3,Axis,29.764705882352942,7.659459886560602,1.8460756602253303,1.396310628739627
25Hz,Exposure 200,5.0,Axis,124.08411214953271,4.897303273425943,1.2476815406726525,0.9430583584200432
25Hz,Exposure 200,0.1,Axis,26.970588235294123,4.9496600840963705,1.2930277548257083,0.9770065354769656
25Hz,Exposure 200,0.2,Axis,29.321100917431192,6.059159014441918,1.5288083476108971,1.155692072925283
25Hz,Exposure 200,1.0,Axis,43.75,5.801221135818447,1.3921255930123713,1.0530113118250195
25Hz,Exposure 200,0.5,Axis,33.04615384615385,8.384841210790906,1.9301234712207431,1.4606340411189909
