frequency,exposure,duty_cycle,camera,affected_rows_mean,affected_rows_std,affected_rows_99ci,affected_rows_95ci
30.1Hz,Exposure 25,15,Logitech,162.01666666666668,4.993857337881321,0.971805890662118,0.7365528728572983
30.1Hz,Exposure 25,30,Logitech,262.8,5.734302243710407,1.1158966550772558,0.8457624048244943
30.1Hz,Exposure 25,1,Logitech,64.56666666666666,3.839994212958602,0.7472638371052918,0.5663675547667947
30.1Hz,Exposure 25,5,Logitech,92.50276243093924,4.916568346181814,0.9540469985098499,0.7231089202136148
30.1Hz,Exposure 25,50,Logitech,397.5111111111111,5.586182247185051,1.0870724665974818,0.8239159239206866
30.1Hz,Exposure 25,25,Logitech,230.33333333333331,5.395471352079547,1.0499600785700731,0.7957876358717653
30.1Hz,Exposure 25,35,Logitech,296.2388888888889,6.011437144577815,1.169827176305415,0.8866375227127262
30.1Hz,Exposure 25,10,Logitech,126.36666666666666,5.4902944669055165,1.06841268050161,0.8097732651985284
30.1Hz,Exposure 25,40,Logitech,330.35,5.795088916967154,1.1277257569413714,0.8547279390377103
30.1Hz,Exposure 25,20,Logitech,196.4,5.186092513208337,1.0092149040029992,0.7649059796986345
30.1Hz,Exposure 25,45,Logitech,364.79444444444437,5.5714522565408,1.0842060067230888,0.8217433714843395
30.1Hz,Exposure 5,20,Logitech,153.82222222222222,4.928551235804557,0.9590973068159268,0.7269207600744849
30.1Hz,Exposure 5,50,Logitech,368.9888888888889,5.721294423165372,1.113365329936177,0.8438438583094826
30.1Hz,Exposure 5,35,Logitech,262.93333333333334,5.444263035526481,1.0594549524082526,0.8029840077708528
30.1Hz,Exposure 5,25,Logitech,190.7,5.041935254553664,0.9811618653069142,0.7436439700292957
30.1Hz,Exposure 5,15,Logitech,118.70555555555555,4.180240851942257,0.8134759184024689,0.6165511348067031
30.1Hz,Exposure 5,5,Logitech,51.344444444444434,3.1025477384136737,0.6037565681702087,0.4576002667459086
30.1Hz,Exposure 5,10,Logitech,84.72222222222223,4.115088166404695,0.8007971894532913,0.6069416497012637
30.1Hz,Exposure 5,45,Logitech,333.15,5.566242498809726,1.0831921865617524,0.8209749750796994
30.1Hz,Exposure 5,40,Logitech,298.7888888888889,5.627303369277023,1.0950746472718238,0.8299809511256502
30.1Hz,Exposure 5,1,Logitech,22.355555555555554,2.269660332448747,0.4416764700394114,0.3347562265334189
30.1Hz,Exposure 5,30,Logitech,224.41436464088403,7.702307414888468,1.4946122484967004,1.132824117508435
30.1Hz,Exposure 20,50,Logitech,388.1722222222222,5.710449053713878,1.1112548183203523,0.8422442555402758
30.1Hz,Exposure 20,10,Logitech,117.92777777777779,4.5179033430656705,0.8791851238778089,0.6663535742970184
30.1Hz,Exposure 20,45,Logitech,351.6777777777778,5.828717750696456,1.1342699364208952,0.8596879153482602
30.1Hz,Exposure 20,30,Logitech,252.95,5.603842927452158,1.0905092394076468,0.8265207289656118
30.1Hz,Exposure 20,1,Logitech,54.63333333333333,3.193569928604804,0.6214695092143427,0.4710252909592522
30.1Hz,Exposure 20,20,Logitech,184.5,5.596129614891588,1.089008226848473,0.8253830788203748
30.1Hz,Exposure 20,5,Logitech,83.646408839779,3.7470947609804535,0.7271137627165586,0.5511074911945241
30.1Hz,Exposure 20,35,Logitech,286.3666666666667,5.7396283271073685,1.116933112242354,0.8465479583078411
30.1Hz,Exposure 20,25,Logitech,219.0611111111111,5.467239694447574,1.0639262159979983,0.8063728759326683
30.1Hz,Exposure 20,15,Logitech,151.08333333333334,4.789890975330811,0.932113985344774,0.7064695124130116
30.1Hz,Exposure 20,40,Logitech,319.0888888888889,5.744842023636787,1.1179476988948356,0.8473169356528321
30.1Hz,Exposure 1,10,Logitech,82.48333333333333,4.073593826913364,0.7927223805794125,0.6008215760003554
30.1Hz,Exposure 1,25,Logitech,190.2,5.4460995216760395,1.05981233307364,0.8032548743691356
30.1Hz,Exposure 1,45,Logitech,334.57777777777784,5.686197279920285,1.1065354170565551,0.8386673184251412
30.1Hz,Exposure 1,50,Logitech,367.8277777777778,5.455711131522388,1.061682754760814,0.8046725077467269
30.1Hz,Exposure 1,35,Logitech,261.18232044198896,5.619118619771502,1.0903750087450872,0.8264371634029414
30.1Hz,Exposure 1,15,Logitech,118.93888888888887,4.3232753644133295,0.8413104704095845,0.6376475486507975
30.1Hz,Exposure 1,20,Logitech,152.39444444444445,5.8056459323108935,1.129780154775493,0.8562850119483131
30.1Hz,Exposure 1,40,Logitech,296.50276243093924,7.525003852272111,1.4602069641949775,1.1067470290422272
30.1Hz,Exposure 1,5,Logitech,46.20441988950275,3.9940815773963885,0.775040896904802,0.5874333098448891
30.1Hz,Exposure 1,30,Logitech,225.51666666666668,5.889232170288037,1.146046057653475,0.8686132943856961
30.1Hz,Exposure 10,20,Logitech,162.88333333333333,5.068722170768925,0.9863746059219088,0.7475948197950019
30.1Hz,Exposure 10,10,Logitech,96.31111111111113,4.155704097166915,0.8087010597681361,0.6129321653412997
30.1Hz,Exposure 10,1,Logitech,32.900552486187856,2.5857770183605666,0.5017631464634217,0.3803055904047317
30.1Hz,Exposure 10,40,Logitech,298.4055555555556,5.724894198170557,1.1140658470551903,0.8443747955073869
30.1Hz,Exposure 10,15,Logitech,130.17777777777778,4.4933970761496935,0.8744161981885565,0.6627391015400478
30.1Hz,Exposure 10,5,Logitech,62.155555555555566,3.3380337229876016,0.6495821998400156,0.4923325121266192
30.1Hz,Exposure 10,45,Logitech,333.68888888888887,5.696284255634338,1.1084983450608306,0.8401550643573829
30.1Hz,Exposure 10,30,Logitech,230.25,5.791636690569908,1.1270539528184755,0.8542187640455939
30.1Hz,Exposure 10,50,Logitech,368.8277777777778,5.652757985223335,1.1000281219202732,0.833735297562525
30.1Hz,Exposure 10,25,Logitech,197.74444444444444,5.163033370049715,1.0047275889599394,0.7615049457903821
30.1Hz,Exposure 10,35,Logitech,264.67222222222216,5.671400528142699,1.103655965448868,0.8364849192708712
30.1Hz,Exposure 15,30,Logitech,242.4,5.616048432839589,1.0928844338177954,0.8283209405955265
30.1Hz,Exposure 15,45,Logitech,342.57777777777784,5.6636811307326695,1.102153768776463,0.8353463716603989
30.1Hz,Exposure 15,40,Logitech,307.92222222222216,5.887326836854791,1.1456752792894116,0.8683322733794763
30.1Hz,Exposure 15,1,Logitech,43.88888888888889,2.8846122190549264,0.5613462614338147,0.42545657059670394
30.1Hz,Exposure 15,15,Logitech,140.76111111111112,4.632450622017691,0.9014760530960872,0.6832483555616136
30.1Hz,Exposure 15,50,Logitech,375.0055555555555,5.595134019070324,1.08881448365191,0.8252362366275083
30.1Hz,Exposure 15,35,Logitech,273.3333333333333,6.076365872972282,1.1824623231383669,0.8962139759820553
30.1Hz,Exposure 15,20,Logitech,174.0611111111111,5.0991980729968045,0.9923052241403422,0.7520897646482695
